Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
2023-01-02,590.6256103515625,597.3789249383365,589.6608511248805,593.278698224938,6726084
2023-01-03,590.818603515625,594.8705453629088,588.5031577021201,592.8445744392669,6818062
2023-01-04,583.8722534179688,593.278655195895,582.714530653071,590.2878664795572,7011191
2023-01-05,583.7757568359375,590.0466915120779,580.7368007464981,585.6088228334233,8241475
2023-01-06,579.482666015625,586.0430171268852,575.9612712058165,585.9947909413189,7972036
2023-01-09,586.2841796875,587.5383548750839,578.9519744110669,583.6793180614544,8878905
2023-01-10,574.1764526367188,587.5383437983095,569.7867512365907,587.0077380232846,10622660
2023-01-11,575.6718139648438,578.3731278895676,571.3786238408615,575.4306241700608,7419630
2023-01-12,573.935302734375,576.8295804912115,569.3044112160512,576.8295804912115,8183715
2023-01-13,578.9519653320312,581.6533381665923,572.7293156750194,576.8295422252015,7877610
2023-01-16,581.7498168945312,584.7405469600316,579.434371184045,581.7498168945312,5483191
2023-01-17,572.053955078125,584.6440503256187,565.3970933276578,581.7497728487591,13461999
2023-01-18,570.6068725585938,576.1060120832733,566.8925141001322,574.900063015766,11538075
2023-01-19,569.0631713867188,570.8962373586289,566.844237078351,570.1726679830159,7475688
2023-01-20,571.3303833007812,575.5752882517476,569.9796969302495,572.8739743949097,6750607
2023-01-23,579.2896728515625,580.543848033493,572.0539788586233,577.4083806365526,6604469
2023-01-24,573.4046020507812,583.2933837660094,572.1504268783784,582.232172208798,7609623
2023-01-25,548.6585693359375,574.8517463101821,547.4043941515966,574.8517463101821,25686294
2023-01-27,520.9217529296875,548.5138430846191,513.493095154366,547.9832372901453,40163464
2023-01-30,519.2333984375,534.8142237434737,506.691529194489,517.1109164810682,40797825
2023-01-31,533.9942626953125,537.3709201829973,518.8957563752566,525.7938087966492,21911943
2023-02-01,508.7657470703125,545.0889549683557,481.7525185670927,541.6158453576472,38218810
2023-02-02,509.4892883300781,513.8789896110457,484.7914774125993,501.86772630427635,39287056
2023-02-03,525.02197265625,526.7103012698828,500.85476627795236,517.110935375525,32317232
2023-02-06,526.1797485351562,539.107487892462,517.6415933548061,539.107487892462,25338586
2023-02-07,527.8197021484375,531.9682135594533,521.982921125981,528.6880089284698,16195947
2023-02-08,530.3763427734375,534.958948736464,526.2761163854664,530.6175325609652,15502847
2023-02-09,531.3893432617188,532.5470660517201,523.6712698406793,532.5470660517201,15061047
2023-02-10,533.56005859375,537.612058971186,527.2408976720559,527.2408976720559,13824475
2023-02-13,518.5580444335938,537.2743955445151,514.5060442165233,534.4765704487645,18488732
2023-02-14,521.7899780273438,525.4078249459512,512.0459338802517,520.9217300974143,18559909
2023-02-15,523.1406860351562,525.4561317123785,517.88273651946,520.9699777943465,12796579
2023-02-16,521.0664672851562,527.5785924715333,519.5228759798567,527.5785924715333,12767016
2023-02-17,512.2871704101562,520.6323616174234,509.1517027946515,519.5228649074749,14192008
2023-02-20,506.6433410644531,515.1332106435904,503.7490633294588,513.2519183389977,12570032
2023-02-21,505.00323486328125,510.3094106718119,503.990249440317,508.52457075113125,10223218
2023-02-22,498.15338134765625,503.50784192884964,494.4390820411358,502.3983453130175,14763050
2023-02-23,502.6395568847656,505.53383456356465,493.3296362397184,498.732293795233,15535085
2023-02-24,502.687744140625,508.9104524449966,499.3593132909169,505.7267590217119,12253035
2023-02-27,509.1034851074219,511.12945604680067,500.71006757356173,502.7360385129405,11048799
2023-02-28,504.3761291503906,509.8270425209138,502.6878004460626,508.6693196325282,15768010
2023-03-01,517.7862548828125,518.4615980741802,504.6654949272699,504.81023235550094,13510198
2023-03-02,514.9402465820312,520.8735394874418,513.734297526804,517.0627286960774,10376913
2023-03-03,541.4228515625,544.4135814003554,522.658274151601,522.8994639412418,27656538
2023-03-06,541.9052734375,547.8867924642946,539.3004117292247,544.9925147627066,16162268
2023-03-08,544.89599609375,545.5713393251098,536.8402801543125,540.2651636110725,12637578
2023-03-09,539.2039794921875,545.8125569372038,538.3356725955982,544.8477976673192,8993423
2023-03-10,528.0609741210938,535.3931800597065,525.7938133420282,533.6083400416748,11522371
2023-03-13,511.3223876953125,533.6565872398469,509.8270226779552,527.7232944704451,14373729
2023-03-14,506.884521484375,514.0237044345507,501.6747981042161,509.05522974540287,14750800
2023-03-15,499.3111267089844,513.2519093313917,497.3816082528513,511.1294272527993,11282329
